time, body_vx, body_vy, body_vz, inertial_vx, inertial_vy, inertial_vz, phi, theta, psi
60084.1015625,-0.0005588608328253,0.38971185684204,-0.062287077307701,-0.016378970816731,0.39262753725052,0.036478471010923,-0.00096788367955014,3.2660782337189,204.99047851563
60084.1328125,-0.00062985805561766,0.30987468361855,-0.07456087321043,-0.023634810000658,0.31352308392525,0.052217930555344,-0.0015988957602531,3.1694498062134,204.9906463623
60084.15625,-0.00062132650054991,0.25116962194443,-0.083298064768314,-0.02885059081018,0.25529342889786,0.0633879378438,-0.002011425094679,3.089081287384,204.99073791504
60084.171875,-0.00060190219664946,0.21041993796825,-0.090019032359123,-0.032734699547291,0.2148758918047,0.071673780679703,-0.0022895406000316,3.0240669250488,204.9907989502
60084.203125,-0.00055505009368062,0.14466932415962,-0.10271891951561,-0.039746697992086,0.14966927468777,0.086602561175823,-0.0027425612788647,2.8930225372314,204.99089050293
60084.23046875,-0.00046686112182215,0.091504797339439,-0.11670529097319,-0.04696961119771,0.096988663077354,0.10188487172127,-0.0030111926607788,2.7448749542236,204.99087524414
60084.26171875,-0.00038646010216326,0.049218289554119,-0.13198488950729,-0.054415617138147,0.055104576051235,0.11766489595175,-0.003267282852903,2.5777888298035,204.9907989502
60084.28125,-0.00032978103263304,0.026391563937068,-0.14326484501362,-0.059692293405533,0.032498486340046,0.12884920835495,-0.0034055148717016,2.4527623653412,204.99066162109
60084.30078125,-0.00027673775912262,0.0077118915505707,-0.15485839545727,-0.06498596817255,0.013975858688354,0.14007917046547,-0.0035087384749204,2.3205738067627,204.9905090332
60084.31640625,-0.00022651288600173,0.014329974539578,-0.16687946021557,-0.070011653006077,0.020699104294181,0.150745049119,-0.0035734665580094,2.1908886432648,204.99029541016
60084.3359375,-0.00017124960140791,0.018709134310484,-0.17469966411591,-0.073315389454365,0.024981860071421,0.15770478546619,-0.003611212130636,2.0616686344147,204.99003601074
60084.35546875,-0.00011171692312928,0.021641338244081,-0.17952200770378,-0.075386263430119,0.027683280408382,0.16200943291187,-0.0036217668093741,1.9326281547546,204.98974609375
60084.375,-4.6595643652836e-05,0.023564655333757,-0.18206636607647,-0.076519653201103,0.029274905100465,0.16428992152214,-0.0036056931130588,1.8009606599808,204.9893951416
60084.39453125,-5.4272240959108e-06,0.024598756805062,-0.18326951563358,-0.077078424394131,0.029940534383059,0.16539435088634,-0.003567467443645,1.6735247373581,204.98901367188
60084.41015625,1.1964395525865e-05,0.024924840778112,-0.18341626226902,-0.077175080776215,0.029925420880318,0.16556343436241,-0.0035081845708191,1.5651857852936,204.98863220215
60084.4296875,4.4364314817358e-05,0.024876471608877,-0.18238958716393,-0.076793260872364,0.029516346752644,0.16467054188251,-0.0033887673635036,1.4602628946304,204.98820495605
60084.44921875,9.9272379884496e-05,0.024470128118992,-0.17987917363644,-0.075811341404915,0.028670692816377,0.16243751347065,-0.0032118943054229,1.3402316570282,204.98765563965
60084.46484375,0.00013968636631034,0.023940563201904,-0.17678402364254,-0.07456436753273,0.027776755392551,0.15966954827309,-0.003056030254811,1.2452394962311,204.9871673584
60084.48046875,0.00017840805230662,0.023292884230614,-0.17291797697544,-0.072989478707314,0.026771649718285,0.15620189905167,-0.0028869009111077,1.1543182134628,204.98666381836
60084.49609375,0.00021437440591399,0.022565377876163,-0.16856783628464,-0.071205630898476,0.025712991133332,0.15229234099388,-0.0027212388813496,1.0712662935257,204.98614501953
60084.51171875,0.00024586272775196,0.021698722615838,-0.16333028674126,-0.069043003022671,0.024509403854609,0.14758059382439,-0.002540527144447,0.98715299367905,204.98558044434
60084.52734375,0.00027499767020345,0.020773235708475,-0.1578424423933,-0.066770158708096,0.023282568901777,0.14263768494129,-0.0023645320907235,0.91186082363129,204.98501586914
60084.54296875,0.00030126582714729,0.019831374287605,-0.15210834145546,-0.064388580620289,0.022067787125707,0.13746796548367,-0.0021787062287331,0.843241751194,204.98446655273
60084.55859375,0.00033281301148236,0.018862683326006,-0.14570844173431,-0.061729501932859,0.020834222435951,0.13169002532959,-0.0019667679443955,0.77595233917236,204.98388671875
60084.5703125,0.0003647124976851,0.017911853268743,-0.13927926123142,-0.059056155383587,0.019651284441352,0.12588042020798,-0.0017488787416369,0.71614527702332,204.98330688477
60084.58984375,0.00040685973362997,0.016698565334082,-0.13106979429722,-0.055641371756792,0.018182244151831,0.11845564842224,-0.001451775082387,0.64905244112015,204.98257446289
60084.60546875,0.00043825138709508,0.015638029202819,-0.12364252656698,-0.052543800324202,0.016922518610954,0.1117362678051,-0.0011903180275112,0.59562855958939,204.98194885254
60084.62109375,0.00046591943828389,0.014556382782757,-0.11578620970249,-0.049260556697845,0.015658151358366,0.10462681204081,-0.00091352575691417,0.54553151130676,204.98132324219
60084.6328125,0.00048797999625094,0.013579812832177,-0.10863316059113,-0.046267177909613,0.014536490663886,0.098152190446854,-0.00066226057242602,0.50485652685165,204.9807434082
60084.6484375,0.00051316083408892,0.012423044070601,-0.100092433393,-0.042690806090832,0.013229726813734,0.090418800711632,-0.00035326031502336,0.46200352907181,204.98008728027
60084.6640625,0.00053101434605196,0.011388053186238,-0.092352457344532,-0.039444211870432,0.012077243998647,0.083410069346428,-7.6548276410904e-05,0.4277760386467,204.97947692871
60084.6796875,0.00054774567252025,0.010230137966573,-0.083412542939186,-0.035689778625965,0.010802704840899,0.075313672423363,0.00024294434115291,0.39346405863762,204.97880554199
60084.6953125,0.00056197633966804,0.00909205339849,-0.074403926730156,-0.031903237104416,0.0095645254477859,0.06715377420187,0.00056639016838744,0.36398082971573,204.97814941406
